Nilai;Kurs Jual;Tanggal
1;16349.92;1/17/2023
1;16544.81;1/16/2023
1;16619.57;1/13/2023
1;16770.31;01/12/2023
1;16820.03;01/11/2023
1;16713.07;01/10/2023
1;16523.97;01/09/2023
1;16646.59;01/06/2023
1;16626.82;01/05/2023
1;16651.9;01/04/2023
1;16717.18;01/03/2023
1;16694.78;01/02/2023
1;16799.34;12/30/2022
1;16807.31;12/29/2022
1;16750.78;12/28/2022
1;16704.17;12/27/2022
1;16667.91;12/26/2022
1;16682.81;12/23/2022
1;16674.62;12/22/2022
1;16655.44;12/21/2022
1;16689.71;12/20/2022
1;16693.29;12/19/2022
1;16721.33;12/16/2022
1;16687.58;12/15/2022
1;16619.14;12/14/2022
1;16545.52;12/13/2022
1;16556.26;12/12/2022
1;16520.2;12/09/2022
1;16417.59;12/08/2022
1;16428.75;12/07/2022
1;16320.75;12/06/2022
1;16312.47;12/05/2022
1;16329.16;12/02/2022
1;16379.18;12/01/2022
1;16411.93;11/30/2022
1;16394.11;11/29/2022
1;16395.09;11/28/2022
1;16379.41;11/25/2022
1;16314.97;11/24/2022
1;16217.87;11/23/2022
1;16199.11;11/22/2022
1;16369.74;11/21/2022
1;16394.47;11/18/2022
1;16324.98;11/17/2022
1;16281.57;11/16/2022
1;16098.31;11/15/2022
1;15951.95;11/14/2022
1;15784.23;11/11/2022
1;15840.82;11/10/2022
1;15760.84;11/09/2022
1;15660.07;11/08/2022
1;15455.69;11/07/2022
1;15415.85;11/04/2022
1;15554.08;11/03/2022
1;15624.6;11/02/2022
1;15572.1;11/01/2022
1;15543.17;10/31/2022
1;15754.16;10/28/2022
1;15728.84;10/27/2022
1;15485.35;10/26/2022
1;15406.3;10/25/2022
1;15360.17;10/24/2022
1;15328.11;10/21/2022
1;15316.24;10/20/2022
1;15325.58;10/19/2022
1;15166.91;10/18/2022
1;15105.02;10/17/2022
1;14976.94;10/14/2022
1;15001.81;10/13/2022
1;14978.73;10/12/2022
1;14925.0;10/11/2022
1;15018.85;10/10/2022
1;15138.59;10/07/2022
1;15183.4;10/06/2022
1;15162.01;10/05/2022
1;15080.52;10/04/2022
1;15072.41;10/03/2022
1;14793.06;9/30/2022
1;14680.41;9/29/2022
1;14690.08;9/28/2022
1;14703.8;9/27/2022
1;14771.7;9/26/2022
1;14877.01;9/23/2022
1;14953.3;9/22/2022
1;15099.54;9/21/2022
1;15021.78;9/20/2022
1;14952.13;9/19/2022
1;14943.55;9/16/2022
1;14979.61;9/15/2022
1;15157.85;9/14/2022
1;15171.19;9/13/2022
1;15072.42;09/12/2022
1;14957.05;09/09/2022
1;14887.63;09/08/2022
1;14919.03;09/07/2022
1;14859.65;09/06/2022
1;14958.03;09/05/2022
1;15004.79;09/02/2022
1;14937.71;09/01/2022
1;14992.73;8/31/2022
1;14880.64;8/30/2022
1;14846.38;8/29/2022
1;14907.1;8/26/2022
1;14859.58;8/25/2022
1;14867.19;8/24/2022
